customer_id,segment_name,recency_days,frequency_180d,monetary_180d,r_score,f_score,m_score,sessions_30d,campaign_clicks_30d,ticket_count_90d,return_rate_180d,avg_discount_pct_180d,category_diversity_180d,manual_priority_bucket
CUST00001,Dormant At-Risk,107,1.0,362.73,2,1,1,1,0,0.0,0.0,0.23,1.0,high
CUST00002,Growth Potential,40,1.0,581.0,4,1,2,8,0,1.0,0.0,0.23,1.0,medium
CUST00003,Dormant At-Risk,171,1.0,649.98,1,1,2,1,0,0.0,0.0,0.47,1.0,high
CUST00004,Dormant At-Risk,131,1.0,1604.04,2,1,4,1,0,0.0,0.0,0.16,1.0,high
CUST00005,Champions,38,3.0,1781.9,4,5,4,18,1,0.0,0.0,0.48,2.0,medium
CUST00006,Service Recovery,51,4.0,2989.58,3,5,5,2,0,2.0,0.25,0.38,3.0,medium
CUST00007,Growth Potential,3,1.0,719.33,5,1,3,11,3,0.0,0.0,0.18,1.0,low
CUST00008,Mixed Watchlist,47,3.0,2449.11,3,5,5,2,0,0.0,0.0,0.21666666666666667,3.0,medium
CUST00009,Growth Potential,31,1.0,376.85,4,1,2,11,0,0.0,0.0,0.49,1.0,low
CUST00010,Growth Potential,9,1.0,636.8,5,1,2,13,0,0.0,0.0,0.45,1.0,low
CUST00011,Growth Potential,1,1.0,508.08,5,1,2,10,0,0.0,0.0,0.14,1.0,low
CUST00012,Mixed Watchlist,50,1.0,978.88,3,1,3,3,0,0.0,0.0,0.31,1.0,medium
CUST00013,Mixed Watchlist,61,3.0,1754.44,3,5,4,4,0,0.0,0.0,0.23,2.0,medium
CUST00014,Mixed Watchlist,51,2.0,1382.3899999999999,3,3,4,11,0,0.0,0.0,0.14500000000000002,1.0,medium
CUST00015,Loyal Core,35,2.0,1523.1399999999999,4,3,4,6,0,0.0,0.0,0.28500000000000003,2.0,low
CUST00016,Dormant At-Risk,215,0.0,0.0,1,1,1,2,1,0.0,0.0,0.0,0.0,high
CUST00017,Mixed Watchlist,286,0.0,0.0,1,1,1,4,4,0.0,0.0,0.0,0.0,high
CUST00018,Discount-Sensitive,111,1.0,329.21,2,1,1,3,2,0.0,0.0,0.36,1.0,high
CUST00019,Loyal Core,9,2.0,1598.93,5,3,4,5,1,0.0,0.0,0.105,1.0,low
CUST00020,Dormant At-Risk,368,0.0,0.0,1,1,1,0,0,0.0,0.0,0.0,0.0,high
CUST00021,Service Recovery,77,2.0,1059.3,3,3,3,3,0,1.0,0.0,0.435,2.0,high
CUST00022,Growth Potential,29,1.0,454.06,4,1,2,10,1,0.0,0.0,0.31,1.0,low
CUST00023,Growth Potential,21,1.0,400.98,4,1,2,3,1,0.0,0.0,0.25,1.0,low
CUST00024,Growth Potential,4,1.0,481.35,5,1,2,13,0,0.0,0.0,0.34,1.0,low
CUST00025,Mixed Watchlist,165,1.0,517.97,1,1,2,11,1,0.0,0.0,0.38,1.0,high
CUST00026,Service Recovery,72,3.0,3561.3900000000003,3,5,5,14,0,1.0,0.3333333333333333,0.16333333333333333,2.0,medium
CUST00027,Service Recovery,70,1.0,2128.34,3,1,5,11,2,1.0,1.0,0.3,1.0,medium
CUST00028,Mixed Watchlist,83,1.0,641.83,3,1,2,1,0,0.0,0.0,0.11,1.0,high
CUST00029,Champions,18,3.0,1382.04,5,5,4,1,0,0.0,0.0,0.19999999999999998,2.0,low
CUST00030,Loyal Core,5,5.0,2819.98,5,5,5,11,0,2.0,0.0,0.362,4.0,medium
CUST00031,Mixed Watchlist,49,1.0,672.95,3,1,2,6,0,0.0,0.0,0.24,1.0,medium
CUST00032,Growth Potential,33,1.0,694.18,4,1,3,12,0,0.0,0.0,0.32,1.0,low
CUST00033,Loyal Core,12,3.0,1877.69,5,5,4,7,0,1.0,0.3333333333333333,0.4033333333333333,3.0,medium
CUST00034,Service Recovery,50,2.0,1460.21,3,3,4,7,2,1.0,0.0,0.185,2.0,medium
CUST00035,Mixed Watchlist,127,1.0,779.74,2,1,3,6,0,0.0,0.0,0.12,1.0,high
CUST00036,Loyal Core,27,4.0,1737.33,4,5,4,0,0,1.0,0.25,0.365,4.0,medium
CUST00037,Mixed Watchlist,102,1.0,435.83,2,1,2,5,0,0.0,0.0,0.43,1.0,high
CUST00038,Mixed Watchlist,51,3.0,1955.6100000000001,3,5,5,5,0,1.0,0.0,0.31666666666666665,3.0,medium
CUST00039,Loyal Core,15,2.0,1173.55,5,3,3,6,1,0.0,0.0,0.21000000000000002,2.0,low
CUST00040,Dormant At-Risk,154,1.0,634.73,1,1,2,1,0,0.0,0.0,0.38,1.0,high
CUST00041,Discount-Sensitive,54,1.0,366.99,3,1,1,5,2,0.0,0.0,0.44,1.0,medium
CUST00042,Service Recovery,87,5.0,4306.0,2,5,5,3,2,2.0,0.0,0.2,4.0,high
CUST00043,Mixed Watchlist,24,1.0,363.01,4,1,1,3,0,0.0,0.0,0.43,1.0,low
CUST00044,Mixed Watchlist,72,1.0,899.51,3,1,3,6,2,0.0,0.0,0.29,1.0,medium
CUST00045,Mixed Watchlist,96,1.0,413.75,2,1,2,6,1,0.0,0.0,0.33,1.0,high
CUST00046,Mixed Watchlist,127,1.0,489.87,2,1,2,7,0,0.0,0.0,0.13,1.0,high
CUST00047,Dormant At-Risk,204,0.0,0.0,1,1,1,2,1,0.0,0.0,0.0,0.0,high
CUST00048,Mixed Watchlist,61,4.0,2450.45,3,5,5,12,0,0.0,0.25,0.3125,3.0,medium
CUST00049,Growth Potential,8,1.0,380.83,5,1,2,4,1,0.0,0.0,0.47,1.0,low
CUST00050,Loyal Core,0,2.0,2026.54,5,3,5,3,1,0.0,0.5,0.30000000000000004,2.0,low
CUST00051,Mixed Watchlist,210,0.0,0.0,1,1,1,6,2,0.0,0.0,0.0,0.0,high
CUST00052,Mixed Watchlist,55,2.0,1820.53,3,3,4,7,0,0.0,0.0,0.19,2.0,medium
CUST00053,Champions,25,3.0,2063.87,4,5,5,9,1,1.0,0.0,0.4566666666666667,2.0,medium
CUST00054,Mixed Watchlist,6,1.0,489.85,5,1,2,3,0,0.0,0.0,0.25,1.0,low
CUST00055,Champions,3,3.0,1308.35,5,5,4,6,2,0.0,0.0,0.24666666666666667,2.0,low
CUST00056,Champions,9,3.0,3150.6899999999996,5,5,5,3,0,1.0,0.0,0.2866666666666667,2.0,medium
CUST00057,Mixed Watchlist,136,1.0,1713.34,2,1,4,7,1,0.0,0.0,0.14,1.0,high
CUST00058,Growth Potential,42,1.0,644.61,4,1,2,2,4,0.0,0.0,0.21,1.0,medium
CUST00059,Loyal Core,2,2.0,1447.55,5,3,4,3,0,0.0,0.0,0.32,1.0,low
CUST00060,Mixed Watchlist,145,1.0,293.22,2,1,1,5,0,0.0,0.0,0.36,1.0,high
CUST00061,Champions,14,3.0,1632.4,5,5,4,4,1,1.0,0.0,0.4066666666666667,3.0,medium
CUST00062,Champions,21,3.0,2295.98,4,5,5,9,1,0.0,0.0,0.24666666666666667,3.0,low
CUST00063,Dormant At-Risk,216,0.0,0.0,1,1,1,0,0,0.0,0.0,0.0,0.0,high
CUST00064,Growth Potential,2,1.0,654.93,5,1,2,8,0,0.0,0.0,0.43,1.0,low
CUST00065,Growth Potential,6,1.0,1911.67,5,1,5,3,2,0.0,0.0,0.0,1.0,low
CUST00066,Mixed Watchlist,320,0.0,0.0,1,1,1,11,1,0.0,0.0,0.0,0.0,high
CUST00067,Service Recovery,63,2.0,1246.44,3,3,4,1,2,1.0,0.5,0.19999999999999998,2.0,medium
CUST00068,Mixed Watchlist,346,0.0,0.0,1,1,1,5,1,0.0,0.0,0.0,0.0,high
CUST00069,Loyal Core,29,2.0,874.47,4,3,3,9,1,0.0,0.0,0.225,2.0,low
CUST00070,Mixed Watchlist,38,1.0,542.98,4,1,2,1,0,0.0,0.0,0.34,1.0,high
CUST00071,Growth Potential,32,1.0,2062.5,4,1,5,1,2,1.0,0.0,0.08,1.0,high
CUST00072,Mixed Watchlist,90,2.0,1697.8400000000001,2,3,4,7,1,0.0,0.0,0.21,2.0,high
CUST00073,Loyal Core,8,2.0,1150.72,5,3,3,7,1,0.0,0.0,0.235,2.0,low
CUST00074,Growth Potential,7,1.0,824.34,5,1,3,14,1,1.0,1.0,0.23,1.0,medium
CUST00075,Champions,3,3.0,1287.45,5,5,4,10,0,0.0,0.0,0.2966666666666667,3.0,low
CUST00076,Loyal Core,20,2.0,1385.27,5,3,4,17,0,0.0,0.0,0.22000000000000003,1.0,low
CUST00077,Dormant At-Risk,109,1.0,394.32,2,1,2,0,0,0.0,0.0,0.36,1.0,high
CUST00078,Service Recovery,139,1.0,894.45,2,1,3,5,0,0.0,1.0,0.42,1.0,high
CUST00079,Dormant At-Risk,191,0.0,0.0,1,1,1,2,0,0.0,0.0,0.0,0.0,high
CUST00080,Mixed Watchlist,50,1.0,1461.68,3,1,4,11,0,0.0,0.0,0.11,1.0,medium
CUST00081,Champions,19,5.0,3417.3199999999997,5,5,5,12,0,0.0,0.0,0.202,4.0,low
CUST00082,Mixed Watchlist,254,0.0,0.0,1,1,1,7,3,0.0,0.0,0.0,0.0,high
CUST00083,Service Recovery,89,2.0,806.87,2,3,3,9,0,1.0,0.5,0.33499999999999996,1.0,high
CUST00084,Mixed Watchlist,167,1.0,1273.18,1,1,4,11,1,0.0,0.0,0.12,1.0,high
CUST00085,Growth Potential,14,1.0,1257.8,5,1,4,8,0,0.0,0.0,0.2,1.0,low
CUST00086,Champions,21,4.0,1741.15,4,5,4,7,2,1.0,0.0,0.2675,1.0,medium
CUST00087,Mixed Watchlist,44,1.0,933.58,4,1,3,1,0,0.0,0.0,0.38,1.0,high
CUST00088,Mixed Watchlist,98,2.0,1169.14,2,3,3,9,0,0.0,0.0,0.43,2.0,high
CUST00089,Mixed Watchlist,165,1.0,1513.5,1,1,4,12,3,0.0,0.0,0.4,1.0,high
CUST00090,Mixed Watchlist,80,4.0,1966.31,3,5,5,5,0,0.0,0.0,0.375,3.0,high
CUST00091,Mixed Watchlist,90,1.0,311.34,2,1,1,9,0,0.0,0.0,0.36,1.0,high
CUST00092,Mixed Watchlist,21,1.0,430.85,4,1,2,1,0,0.0,0.0,0.26,1.0,high
CUST00093,Mixed Watchlist,85,1.0,759.64,3,1,3,16,4,0.0,0.0,0.12,1.0,high
CUST00094,Mixed Watchlist,183,0.0,0.0,1,1,1,6,1,0.0,0.0,0.0,0.0,high
CUST00095,Discount-Sensitive,65,1.0,372.65,3,1,1,10,1,1.0,0.0,0.41,1.0,medium
CUST00096,Service Recovery,61,2.0,1414.75,3,3,4,12,0,0.0,0.5,0.325,2.0,medium
CUST00097,Champions,1,3.0,2946.09,5,5,5,0,0,0.0,0.0,0.41,1.0,low
CUST00098,Mixed Watchlist,184,0.0,0.0,1,1,1,8,0,0.0,0.0,0.0,0.0,high
